clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-II-2P-118,II,PROYECTO de Decreto por el que se adiciona el artículo 47 Bis de la Ley de Aviación Civil.,15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-118/01_minuta_118_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-118/02_dictamen_118_15abr26.pdf
CD-LXVI-II-2P-119,II,"PROYECTO de Decreto por el que se declara el 27 de octubre de cada año, como el ""Día Nacional del Xoloitzcuitle"".",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-119/01_minuta_119_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-119/02_dictamen_119_15abr26.pdf
CD-LXVI-II-2P-120,II,"PROYECTO de Decreto por el que se adiciona un numeral 24 a la fracción I del artículo 18 de la Ley sobre el Escudo, la Bandera y el Himno Nacionales.",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-120/01_minuta_120_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-120/02_dictamen_120_15abr26.pdf
CD-LXVI-II-2P-121,II,"PROYECTO de Decreto por el que se reforman los artículos 2, primer párrafo, y 18, fracciones VIII y XIII de la Ley para el Desarrollo de la Competitividad de la Micro, Pequeña y Mediana Empresa.",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-121/01_minuta_121_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-121/02_dictamen_121_15abr26.pdf
CD-LXVI-II-2P-122,II,"PROYECTO de Decreto por el que se declara el 17 de mayo de cada año, como el ""Día Nacional de las y los Productores de Nuez"".",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-122/01_minuta_122_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-122/02_dictamen_122_15abr26.pdf
CD-LXVI-II-2P-123,II,"PROYECTO de Decreto por el que se adiciona una fracción IX al artículo 2o. de la Ley General de Salud, en materia de prevención para la salud.",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-123/01_minuta_123_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-123/02_dictamen_123_15abr26.pdf
CD-LXVI-II-2P-124,II,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Fiscalización y Rendición de Cuentas de la Federación y de la Ley General de Contabilidad Gubernamental.",15-Abr-2026,"Aprobado por el Senado el 21-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 14-May-2026. Fe de erratas , DOF 15-May-2026.",publicada_dof,iniclave/66/CD-LXVI-II-2P-124/01_minuta_124_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-124/02_dictamen_124_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-124/03_dof_124_14may26.pdf;iniclave/66/CD-LXVI-II-2P-124/03_dof_fe_124_15may26.pdf
CD-LXVI-II-2P-125,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Turismo, en materia de turismo accesible.",21-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-125/01_minuta_125_21abr26.pdf;iniclave/66/CD-LXVI-II-2P-125/02_dictamen_125_21abr26.pdf
CD-LXVI-II-2P-126,II,"PROYECTO de Decreto por el que se reforman diversas disposiciones de la Ley Federal del Trabajo, para fomentar el primer empleo de personas jóvenes.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-126/01_minuta_126_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-126/02_dictamen_126_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-126/01_modifica_126_29abr26.pdf
CD-LXVI-II-2P-127,II,"PROYECTO de Decreto por el que se adiciona un segundo párrafo al artículo 13 de la Ley Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B) del Artículo 123 Constitucional.",29-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-127/01_minuta_127_29abr26.pdf;iniclave/66/CD-LXVI-II-2P-127/02_dictamen_127_29abr26.pdf
